aabc_id,sc_sm_id,bill_generate_date,auto_bill_type,auto_bill_period,bill_cycle,auto_due_date,auto_grace_period,send_email,send_sms,next_billing_date,next_bill_period,flag,is_active,auto_approve,is_reminder_email,created_by,created_on,updated_by,updated_on,deleted_by,deleted_on,is_deleted,send_whatsapp,sc_sm_name
4558,21232,2025-07-02,MAINTENANCE_CHARGES,7,1,8,0,1,0,2026-01-02,1,0,1,1,0,381665,"2025-06-13 11:53:49",381665,"2025-12-02 00:01:32",NULL,NULL,0,1,"41 Evoke A-wing ERP"
4565,20691,2025-07-02,MAINTENANCE_CHARGES,7,1,14,0,1,0,2026-01-02,1,0,1,1,0,338188,"2025-06-14 07:51:03",NULL,"2025-12-02 00:01:40",NULL,NULL,0,1,"Tulsi Ratna Society"
4579,3407,2025-07-02,MAINTENANCE,7,1,14,0,1,0,2026-01-02,1,0,1,1,0,303280,"2025-06-15 13:14:10",NULL,"2025-12-02 00:01:45",NULL,NULL,0,1,"SAI'S LEELA"
4583,20679,2025-07-02,MAINTENANCE_CHARGES,7,1,14,0,1,0,2026-01-02,1,0,1,1,0,338187,"2025-06-17 09:57:00",338187,"2025-12-02 00:01:50",NULL,NULL,0,1,"Majestique Nest D-Wing"
4587,15181,2025-07-02,MAINTENANCE_CHARGES,7,1,14,10,1,0,2026-01-02,1,0,1,1,0,303557,"2025-06-17 13:35:30",NULL,"2025-12-02 00:01:55",NULL,NULL,0,1,"Skyland Cooperative Housing Society"
4595,20155,2025-07-02,MAINTENANCE_CHARGES,7,1,14,0,1,0,2026-01-02,1,0,1,1,0,313167,"2025-06-19 06:59:46",NULL,"2025-12-02 00:01:57",NULL,NULL,0,1,"Kamal Kanha"
4624,10850,2025-07-02,MAINTENANCE,7,1,13,0,1,0,2026-01-02,1,0,1,1,0,153078,"2025-06-20 14:42:52",NULL,"2025-12-02 00:02:03",NULL,NULL,0,1,"ABHIMAAN KOHINOOR - H Wing"
4625,2625,2025-07-02,MAINTENANCE_CHARGES_FLATS,7,1,13,0,1,0,2026-01-02,1,0,1,1,0,77619,"2025-06-20 14:44:01",NULL,"2025-12-02 00:02:12",NULL,NULL,0,1,"Everest Plaza"
4627,9681,2025-07-02,MAINTENANCE_CHARGES,7,1,14,0,1,0,2026-01-02,1,0,1,1,0,269813,"2025-06-20 14:50:56",NULL,"2025-12-02 00:02:19",NULL,NULL,0,1,"Kesar Treetown D Wing"
4628,19823,2025-07-02,MAINTENANCE_CHARGES,22,2,30,0,1,0,2026-01-02,24,0,1,1,0,330277,"2025-06-20 14:52:08",330277,"2025-10-02 00:03:10",NULL,NULL,0,1,"SONIGARA ESTILO"
4645,3787,2025-07-02,MAINTENANCE_CHARGES,7,1,18,0,1,0,2026-01-02,1,0,1,1,0,244523,"2025-06-20 15:48:54",NULL,"2025-12-02 00:02:23",NULL,NULL,0,1,"Goodwill Palette"
4648,19348,2025-07-02,MAINTENANCE_CHARGES,7,1,29,0,1,0,2026-01-02,1,0,1,1,0,267666,"2025-06-20 16:57:47",NULL,"2025-12-02 00:02:26",NULL,NULL,0,1,"Manas Valley"
